arg-id,x,y,probability,cluster-id
A81_0,17.005152,11.251487,1.0,1
A82_0,12.361395,7.2215724,0.551902149691121,4
A83_0,14.647125,8.850233,0.9636536883409893,0
A84_0,11.945238,7.5027366,1.0,4
A85_0,12.09326,7.5092683,1.0,4
A86_0,11.980402,7.1675653,1.0,4
A87_0,12.033002,7.432373,1.0,4
A88_0,15.783679,13.570766,1.0,2
A88_1,15.527232,12.895646,0.0,2
A89_0,12.1399145,7.6528144,1.0,4
A89_1,12.450648,8.156499,1.0,4
A90_0,15.638075,12.255769,1.0,2
A91_0,14.039497,8.55459,0.21863746800767955,0
A91_1,14.5057745,8.691105,1.0,0
A92_0,15.656502,10.518928,1.0,0
A93_0,15.45336,13.223096,1.0,2
A94_0,15.573442,13.634298,0.7228728608643135,2
A95_0,13.932996,12.061168,0.6209932539824876,5
A95_1,13.572405,10.874995,1.0,5
A96_0,15.875236,13.752628,0.7797416612870238,2
A97_0,14.191177,12.019235,0.9399372297647317,5
A97_1,14.309788,11.907219,1.0,5
A98_0,15.569309,10.32498,1.0,0
A98_1,13.671241,10.50779,0.9059099488523278,5
A99_0,15.756364,8.806025,0.3713404908631365,0
A100_0,15.496365,9.1802845,0.29850766709333854,0
A101_0,15.064283,10.082424,0.9888118988184333,0
A101_1,14.999754,10.322426,0.8291083762617356,0
A102_0,15.920354,13.013606,0.0,2
A103_0,15.0255575,11.052386,0.0,0
A103_1,15.255811,11.112862,1.0,0
A104_0,15.993056,13.348158,0.670110169783678,2
A105_0,15.820907,13.660751,1.0,2
A106_0,15.422051,13.436413,1.0,2
A106_1,15.269105,12.782293,0.0,2
A107_0,14.262595,11.352285,1.0,5
A108_0,14.893462,12.976857,1.0,2
A108_1,13.5748625,10.758695,0.9059099488523278,5
A109_0,12.372119,7.3566465,0.661902737228859,4
A110_0,17.06311,12.729417,1.0,1
A110_1,17.684109,12.468121,1.0,1
A111_0,15.071131,11.46789,0.0,5
A112_0,12.454979,7.4334507,0.0,4
A113_0,16.149897,11.164757,0.9895761529817289,0
A113_1,15.826763,11.760272,0.0,2
A114_0,16.724752,13.296793,0.0,1
A115_0,15.389243,10.708688,1.0,0
A116_0,15.657099,10.4114275,1.0,0
A117_0,13.60474,12.14691,0.0,5
A117_1,13.555334,11.124907,0.9720386457729977,5
A118_0,13.717268,11.797256,0.0,5
A118_1,13.367248,11.006135,1.0,5
A119_0,15.305482,12.310276,0.706566116687855,2
A119_1,15.069179,12.652036,1.0,2
A120_0,16.628736,10.401951,0.6070385455061714,0
